time_s,current_uA
0.0,22.96
1.0,23.02
2.0,22.81
3.0,22.83
4.0,22.8
5.0,23.01
6.0,23.16
7.0,23.38
8.0,23.67
9.0,23.59
10.0,23.67
11.0,23.59
12.0,23.48
13.0,23.72
14.0,23.89
15.0,23.87
16.0,23.81
17.0,23.87
18.0,23.5
19.0,23.51
20.0,23.77
21.0,23.96
22.0,23.97
23.0,23.77
24.0,23.87
25.0,23.94
26.0,23.97
27.0,23.65
28.0,23.64
29.0,23.91
30.0,23.71
31.0,23.6
32.0,24.01
33.0,23.78
34.0,23.71
35.0,23.5
36.0,23.71
37.0,23.7
38.0,23.24
39.0,23.22
50.0,23.27
51.0,23.52
52.0,23.4
53.0,23.48
54.0,23.34
55.0,23.09
56.0,23.2
57.0,23.4
58.0,23.3
59.0,23.66
60.0,23.42
61.0,23.44
62.0,23.82
63.0,23.88
64.0,24.43
65.0,24.29
66.0,24.46
67.0,24.3
68.0,24.48
69.0,24.27
70.0,24.69
71.0,24.75
72.0,24.7
73.0,24.56
74.0,24.31
75.0,24.48
76.0,24.48
77.0,24.63
78.0,24.47
79.0,24.94
80.0,25.01
81.0,24.75
82.0,24.85
83.0,24.64
84.0,24.67
85.0,24.67
86.0,24.01
87.0,24.17
88.0,24.34
89.0,24.41
90.0,24.48
91.0,24.39
92.0,24.45
93.0,24.49
94.0,24.49
95.0,24.38
96.0,24.5
97.0,24.74
98.0,24.92
99.0,24.88
100.0,24.87
101.0,24.53
102.0,24.56
103.0,24.38
104.0,24.29
105.0,24.45
106.0,24.35
107.0,24.67
108.0,24.64
109.0,24.56
110.0,24.45
111.0,24.65
112.0,24.6
113.0,25.69
114.0,25.4
115.0,25.2
116.0,25.31
117.0,25.45
118.0,25.52
119.0,25.47
120.0,25.53
121.0,25.31
122.0,25.14
123.0,25.27
124.0,25.12
125.0,25.15
126.0,25.39
127.0,25.63
128.0,25.63
129.0,25.78
130.0,25.59
131.0,25.16
132.0,25.59
133.0,25.51
134.0,25.67
135.0,25.69
136.0,25.46
137.0,25.58
138.0,25.58
139.0,25.57
140.0,25.16
141.0,25.03
142.0,25.12
143.0,25.02
144.0,25.13
145.0,25.46
146.0,25.58
147.0,25.64
148.0,25.25
149.0,25.06
150.0,25.16
151.0,25.55
152.0,25.78
153.0,25.57
154.0,25.55
155.0,25.37
156.0,25.36
157.0,25.26
158.0,25.33
159.0,25.01
160.0,25.03
161.0,25.02
162.0,25.93
163.0,27.32
164.0,28.28
165.0,28.89
166.0,30.33
167.0,31.12
168.0,34.22
169.0,33.455
170.0,33.59
171.0,33.94
172.0,33.84
173.0,33.94
174.0,33.96
175.0,33.27
176.0,33.48
177.0,33.64
