time_s,current_uA
-8.0,32.33
-7.0,3.807
-6.0,877500.0
-5.0,1.234
-4.0,1.242
-3.0,1.219
-2.0,1.198
-1.0,1.181
0.0,1.164
1.0,15.89
2.0,13.33
3.0,12.27
4.0,11.69
5.0,11.37
6.0,11.3
7.0,11.28
8.0,11.35
9.0,11.43
10.0,11.55
11.0,11.72
12.0,11.88
13.0,12.19
14.0,12.45
15.0,12.58
16.0,12.82
17.0,13.06
18.0,13.23
19.0,13.47
20.0,13.75
21.0,14.03
22.0,14.4
23.0,14.61
24.0,14.85
25.0,15.16
26.0,15.49
27.0,15.77
28.0,16.06
29.0,16.47
30.0,16.75
31.0,17.06
32.0,17.35
33.0,17.68
34.0,18.04
35.0,18.37
36.0,18.71
37.0,19.03
38.0,19.3
39.0,19.68
40.0,19.96
41.0,20.27
42.0,20.57
43.0,20.87
44.0,21.21
45.0,21.44
46.0,21.72
47.0,21.96
48.0,22.24
49.0,22.53
50.0,22.72
51.0,22.94
52.0,23.11
53.0,23.3
54.0,23.56
55.0,23.77
56.0,23.97
57.0,24.17
58.0,24.33
59.0,26.47
60.0,35.28
61.0,37.16
62.0,37.41
63.0,37.44
64.0,37.42
65.0,37.45
66.0,37.3
67.0,37.34
68.0,37.31
69.0,37.3
70.0,37.27
71.0,37.12
72.0,37.17
73.0,37.18
74.0,37.13
75.0,37.18
76.0,37.16
77.0,37.13
78.0,37.07
79.0,37.1
80.0,37.03
81.0,37.03
82.0,37.09
83.0,37.04
84.0,36.98
85.0,36.95
86.0,37.03
87.0,36.97
88.0,37.03
89.0,37.03
90.0,37.08
91.0,37.09
92.0,37.16
93.0,37.1
94.0,37.12
95.0,37.14
96.0,37.04
97.0,37.05
98.0,37.12
99.0,37.18
100.0,37.21
101.0,37.26
102.0,37.23
103.0,37.25
104.0,37.21
105.0,37.25
106.0,37.25
107.0,37.23
108.0,37.28
109.0,37.27
110.0,37.31
111.0,37.35
112.0,37.38
113.0,37.4
114.0,37.43
115.0,37.47
116.0,37.49
117.0,37.47
118.0,37.49
119.0,37.48
120.0,37.57
121.0,37.55
122.0,37.59
123.0,37.64
124.0,37.64
125.0,37.69
126.0,37.77
127.0,37.81
128.0,37.83
129.0,37.87
130.0,37.88
131.0,37.88
132.0,37.89
133.0,37.93
134.0,37.94
135.0,38.05
136.0,38.01
137.0,38.09
138.0,38.08
139.0,38.16
140.0,38.17
141.0,38.07
142.0,38.06
143.0,38.12
144.0,38.13
145.0,38.12
146.0,38.14
147.0,38.14
148.0,38.23
149.0,38.27
150.0,38.32
151.0,38.3
152.0,38.29
153.0,38.29
154.0,38.28
155.0,38.32
156.0,38.32
157.0,38.3
158.0,38.36
159.0,38.39
160.0,38.4
161.0,38.37
162.0,38.42
163.0,38.43
164.0,38.46
165.0,38.5
166.0,38.53
167.0,38.51
168.0,38.52
169.0,38.56
170.0,38.67
171.0,38.66
172.0,38.67
173.0,38.71
174.0,38.71
175.0,38.72
176.0,38.69
177.0,38.76
178.0,38.84
179.0,38.97
180.0,38.97
181.0,38.95
182.0,38.99
183.0,39.1
184.0,39.15
185.0,39.15
186.0,39.22
187.0,39.23
188.0,39.25
189.0,39.28
190.0,39.29
191.0,39.35
192.0,39.35
193.0,39.34
194.0,39.34
195.0,39.38
196.0,39.43
197.0,39.52
198.0,39.45
199.0,39.49
200.0,39.52
201.0,39.62
202.0,39.62
203.0,39.66
204.0,39.64
205.0,39.76
206.0,39.78
207.0,39.82
208.0,39.8
209.0,39.91
210.0,39.87
211.0,39.85
212.0,39.82
213.0,39.8
214.0,39.88
215.0,39.9
216.0,39.85
217.0,39.92
218.0,39.88
219.0,39.95
220.0,40.09
221.0,40.06
222.0,40.11
223.0,40.08
224.0,40.27
225.0,40.39
226.0,40.44
227.0,40.41
228.0,40.37
229.0,40.32
230.0,40.36
231.0,40.4
232.0,40.48
233.0,40.5
234.0,40.49
235.0,40.53
236.0,40.56
237.0,40.52
238.0,40.54
239.0,40.62
240.0,40.59
241.0,40.63
242.0,40.66
243.0,40.76
244.0,40.74
245.0,40.89
246.0,40.92
247.0,40.98
248.0,40.97
249.0,40.93
250.0,41.02
251.0,41.04
252.0,41.09
253.0,41.17
254.0,41.14
255.0,41.01
256.0,41.08
257.0,41.15
258.0,41.13
259.0,41.13
260.0,41.17
261.0,41.16
262.0,41.18
263.0,41.24
264.0,41.28
265.0,41.23
266.0,41.21
267.0,41.26
268.0,41.27
269.0,41.32
270.0,41.28
271.0,41.28
272.0,41.29
273.0,41.31
274.0,41.25
275.0,41.27
276.0,41.34
277.0,41.45
278.0,41.55
