potential_V,time_s,current_uA
0.7,200.0,61.760000000000005
0.7,201.0,61.51
0.7,202.0,61.50000000000001
0.7,203.0,61.61
0.7,204.0,61.56
0.7,205.0,61.470000000000006
0.7,206.0,61.470000000000006
0.7,207.0,61.279999999999994
0.7,208.0,61.25
0.7,209.0,61.22
0.7,210.0,60.96
0.7,211.0,60.940000000000005
0.7,212.0,60.97
0.7,213.0,60.980000000000004
0.7,214.0,61.17
0.7,215.0,60.730000000000004
0.7,216.0,60.96
0.7,217.0,60.66
0.7,218.0,60.72
0.7,219.0,60.550000000000004
0.7,220.0,60.739999999999995
0.7,221.0,60.89
0.7,222.0,60.76
0.7,223.0,60.779999999999994
0.7,224.0,60.56
0.7,225.0,60.53
0.7,226.0,60.39
0.7,227.0,60.309999999999995
0.7,228.0,60.21
0.7,229.0,60.21
0.7,230.0,59.89
0.7,231.0,60.019999999999996
0.7,232.0,60.13
0.7,233.0,59.73
0.7,234.0,59.910000000000004
0.7,235.0,59.809999999999995
0.7,236.0,59.73
0.7,237.0,59.65
0.7,238.0,59.88
0.7,239.0,59.660000000000004
0.7,240.0,59.36
0.7,241.0,59.31
0.7,242.0,59.36
0.7,243.0,59.46
0.7,244.0,59.24
0.7,245.0,59.49
0.7,246.0,59.18
0.7,247.0,59.47
0.7,248.0,59.379999999999995
0.7,249.0,59.4
0.6,200.0,42.96
0.6,201.0,42.910000000000004
0.6,202.0,42.86
0.6,203.0,42.93
0.6,204.0,42.89
0.6,205.0,42.86
0.6,206.0,42.79
0.6,207.0,42.69
0.6,208.0,42.72
0.6,209.0,42.769999999999996
0.6,210.0,42.769999999999996
0.6,211.0,42.660000000000004
0.6,212.0,42.74
0.6,213.0,42.620000000000005
0.6,214.0,42.51
0.6,215.0,42.48
0.6,216.0,42.39
0.6,217.0,42.43
0.6,218.0,42.39
0.6,219.0,42.45
0.6,220.0,42.35
0.6,221.0,42.28
0.6,222.0,42.290000000000006
0.6,223.0,42.330000000000005
0.6,224.0,42.32
0.6,225.0,42.36
0.6,226.0,42.290000000000006
0.6,227.0,42.32
0.6,228.0,42.36
0.6,229.0,42.32
0.6,230.0,42.330000000000005
0.6,231.0,42.25
0.6,232.0,42.15
0.6,233.0,42.2
0.6,234.0,42.21
0.6,235.0,42.05
0.6,236.0,42.05
0.6,237.0,42.02
0.6,238.0,42.05
0.6,239.0,42.02
0.6,240.0,41.980000000000004
0.6,241.0,41.940000000000005
0.6,242.0,41.96
0.6,243.0,41.940000000000005
0.6,244.0,41.85
0.6,245.0,41.8
0.6,246.0,41.71
0.6,247.0,41.78
0.6,248.0,41.56
0.6,249.0,41.489999999999995
0.5,200.0,24.84
0.5,201.0,24.790000000000003
0.5,202.0,24.8
0.5,203.0,24.740000000000002
0.5,204.0,24.85
0.5,205.0,24.76
0.5,206.0,24.810000000000002
0.5,207.0,24.82
0.5,208.0,24.810000000000002
0.5,209.0,24.830000000000002
0.5,210.0,24.810000000000002
0.5,211.0,24.85
0.5,212.0,24.709999999999997
0.5,213.0,24.77
0.5,214.0,24.75
0.5,215.0,24.810000000000002
0.5,216.0,24.810000000000002
0.5,217.0,24.810000000000002
0.5,218.0,24.82
0.5,219.0,24.78
0.5,220.0,24.709999999999997
0.5,221.0,24.76
0.5,222.0,24.75
0.5,223.0,24.8
0.5,224.0,24.8
0.5,225.0,24.78
0.5,226.0,24.740000000000002
0.5,227.0,24.7
0.5,228.0,24.73
0.5,229.0,24.689999999999998
0.5,230.0,24.709999999999997
0.5,231.0,24.669999999999998
0.5,232.0,24.66
0.5,233.0,24.65
0.5,234.0,24.65
0.5,235.0,24.73
0.5,236.0,24.65
0.5,237.0,24.7
0.5,238.0,24.64
0.5,239.0,24.709999999999997
0.5,240.0,24.669999999999998
0.5,241.0,24.65
0.5,242.0,24.66
0.5,243.0,24.66
0.5,244.0,24.65
0.5,245.0,24.61
0.5,246.0,24.64
0.5,247.0,24.65
0.5,248.0,24.669999999999998
0.5,249.0,24.65
